    at performWorkOnRoot (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:8891:150)
    at performWorkOnRootViaSchedulerTask (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:10085:9)
    at MessagePort.performWorkUntilDeadline (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_008ppkl._.js:2647:64)
[  807796ms] [INFO] [2026-09-02T01:18:07.539Z] INFO: Starting sync engine @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807802ms] [INFO] [2026-09-02T01:18:07.545Z] INFO: Stopping sync engine @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807802ms] [INFO] [2026-09-02T01:18:07.546Z] INFO: Starting sync engine @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807820ms] [INFO] [2026-09-02T01:18:07.564Z] INFO: Processing pending mutations {"count":0} @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  808769ms] [INFO] [2026-09-02T01:18:08.513Z] INFO: Sync completed {"duration":972,"successCount":0,"failureCount":0,"skippedCount":0,"remainingPending":0,"status":"idle","diagnostics":{"totalAttempts":1,"successfulSyncs":1,"failedSyncs":0,"averageDuration":972}} @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  861843ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  861887ms] [LOG] [Fast Refresh] done in 7ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  862045ms] [LOG] [Fast Refresh] done in 7ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  862078ms] [LOG] [Fast Refresh] done in 7ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  862242ms] [LOG] [Fast Refresh] done in 7ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  862382ms] [LOG] [Fast Refresh] done in 7ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  865977ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
